sku,price
567 - 1,8.211
567 - 3,21.5264
567 - 6,39.636
567,8.211
791 - 1,5.796
791 - 3,15.5008
791 - 6,27.324
791,2.898
163 - 1,6.2445
163 - 3,15.9824
163 - 6,28.9008
163,6.2445
164 - 1,11.8335
164 - 3,31.0688
164 - 6,57.1968
164,11.8335
272 - 1,2.1275
272 - 3,5.9472
272 - 6,10.4868
272,2.1275
273 - 1,1.9665
273 - 3,5.4768
273 - 6,9.666
273,1.9665
274 - 1,3.703
274 - 3,9.9232
274 - 6,17.4636
274,3.703
275 - 1,5.0025
275 - 3,13.384
275 - 6,23.1444
275,5.0025
497 - 30,4.186
497 - 60,7.4704
497 - 90,10.2924
497,4.186
559 - 32,61.9735
559 - 64,118.4512
559 - 128,224.1
559,61.9735
684 - 1,1.8515
684 - 3,5.1744
684 - 6,9.1368
684,1.8515
81 - 1,8.947
81 - 3,23.4752
81 - 6,43.2108
81,8.947
82 - 1,9.2345
82 - 3,24.192
82 - 6,44.5608
82,9.2345
83 - 2,69
83 - 4,128.8
83 - 6,162
83,69
352 - 30,6.003
352 - 60,10.696
352 - 100,14.1372
352,6.003
353 - 32,6.9
353 - 64,13.44
353 - 96,19.44
353,6.9
690 - 1,8.3375
690 - 3,21.3472
690 - 6,38.5776
690,8.3375
1144 - 1,5.0025
1144 - 3,13.3952
